SNR1,SNR2,SNR3,SNR4
6.33896526822,13.0003318015,48.9150563604,29.3773769978
10.7783854625,17.2536054058,57.8934208044,29.2535425958
7.13085059685,18.4520570964,88.1575186316,73.2184238847
34.9784658112,32.753239197,43.8580919792,20.0066318661
23.397085537,43.6095951065,244.913963422,61.6300801708
0.0,0.0,0.0,0.0
12.0233998505,73.321725623,113.975707962,91.411948794
29.9890129212,39.3971042927,41.721047199,18.8299681549
20.0153367517,14.134592237,21.6123651857,7.65399533082
52.2082977811,109.968997008,170.176128808,58.6406035583
11.4612078565,13.8153467464,51.0107235039,28.1946044435
34.7933223056,20.1237031454,43.2454209272,25.8496785552
7.11807465082,15.8441369011,41.1466418581,28.3243074403
13.8447782746,40.0144566888,67.1073369871,32.0416707982
20.5208108618,24.9366152699,209.104166265,38.4719272408
19.8537351578,38.2693711948,188.770174661,72.9916579826
15.6938167472,23.732870273,41.215371621,38.5223802703
8.23235709311,20.1337465332,49.1380958083,32.3948712612
8.5952365096,15.2445662807,47.6325694274,27.909705372
14.7390413057,29.8167386582,120.259069569,63.3739947999
29.9611349939,22.6297817614,29.9701690741,20.7605067782
6.88860337555,15.215574999,46.1268621245,35.6195955208
12.1891733793,32.3901566148,32.7937814863,25.9890143712
6.52859896037,15.9461221132,28.5214902457,28.3895950536
14.5594455748,20.8168311318,52.9447111047,52.4722241789
7.34339485452,20.5609104658,48.8883630357,27.5576327169
24.4393234087,48.6143096484,50.8933759258,24.5024850192
10.8273121476,18.0977786047,121.124078687,35.3415911905
26.4889114345,24.9975357257,32.7364337163,16.3189444852
43.3041717171,68.4324706486,102.58967927,32.8050512376
6.62347490956,13.3475308218,66.3632593765,19.4581889846
45.4331171383,38.7951899368,46.371876092,24.4139131726
24.8787584511,42.998875403,83.1230963588,33.4066642223
19.2200564349,24.3811325422,44.0978416323,41.6260718161
15.6162609643,25.6095056913,28.4643549767,21.0151120975
0.0,0.0,0.0,0.0
52.9111138629,156.822704216,225.238075408,26.3453546083
0.0,0.0,0.0,0.0
11.7509366943,31.4794838833,73.766840134,24.1746969477
22.5568888683,40.9600487171,50.1991280215,10.3110531834
43.9974777453,22.848453744,67.4883421929,19.8185941815
14.480572206,23.7612183559,87.0492165931,56.375087562
26.8716813405,25.377931311,150.521712084,100.766532796
22.0644607603,66.5471186093,91.051308186,63.1988675581
12.4897317407,32.9490899336,182.335275393,127.917886803
25.987720763,35.3869537947,46.088333026,16.2678552318
19.8349113065,22.0597391556,119.427252189,61.1762350742
17.127702376,84.2251203951,110.569059934,62.0596726657
0.0,0.0,0.0,0.0
12.5371969681,25.7792753549,25.8093385086,21.6284262786
26.3543685686,35.7591404873,45.1797471821,37.2002559536
4.79429616363,11.1653288993,39.8156965348,28.9206455989
20.7693121255,95.0821876218,27.2224234282,13.8889624657
33.7116080452,40.9403976947,31.3320838777,15.3054525731
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
21.7221137146,48.1540236096,65.9994314455,21.1609936246
14.7686093289,22.8410786879,48.1988144805,46.7798951542
45.5124080167,39.9468272268,62.9438780781,21.6729142858
36.8303746579,38.1734062143,35.7449241999,20.4266044551
38.6548071679,53.4420402214,25.0195590564,29.6097632832
21.8768485176,50.6145920292,24.1501470145,13.2013103132
19.7341585136,19.7341585136,76.0901456698,73.0551863805
5.99145514,33.1333606079,40.7424157866,31.272441302
14.7052008788,58.3517287579,195.631988135,122.28474902
47.5402996739,75.6602096232,181.078737636,77.0665904756
11.3563872468,22.149406238,26.7565017122,18.1936326968
12.4430475279,23.8100876727,61.0330007767,33.0109496773
10.0887396583,31.5673682796,100.594494234,60.6699101994
6.83581394799,24.2194524669,31.5170032095,19.6507007774
17.0453156269,27.0573097841,44.4866603709,21.0030585204
15.104154465,27.1902630384,163.691879289,110.732595683
12.1575786698,31.4177617895,92.4365640636,67.2789977975
26.6681160826,36.3489653814,49.7458356502,39.7122312896
0.0,0.0,0.0,0.0
18.4820179072,44.7989996304,66.5318200718,59.7806958931
13.1044531718,36.3972002332,55.1771529804,46.7813547307
5.41634648713,7.23138082818,60.3244359085,33.2334037696
0.0,0.0,0.0,0.0
16.9593028886,52.6090243833,34.5481897557,12.9758710557
12.6096732926,22.0211834497,31.0493530721,23.9778762368
14.0089385522,33.1751288282,30.5681242796,15.0760093364
24.8020060734,31.1676657765,102.809050395,33.1830222195
23.2696760603,90.2354879588,112.911829931,99.27861134
