SNR1,SNR2,SNR3,SNR4,SNR5
15.424678355,65.0589420778,116.057542983,175.533276853,40.1988626162
22.345755444,35.1889260827,43.1579834942,20.2545208571,15.30839356
15.4435279678,38.0289394014,49.2526715051,43.3378171627,24.7086369614
21.4115600823,34.2367741274,45.8227983329,39.9634233482,16.4909384599
28.4131381753,51.8535787651,206.908592779,175.66474771,76.1637414938
13.2574646703,115.858428414,188.939865209,44.2376238012,18.4118917888
14.7359570605,64.0906195283,81.6497178435,41.1793609114,33.7969362847
13.3004390713,29.267320226,38.0996164771,40.7597864449,15.2056565369
28.6347853002,28.2678436017,71.9698995665,61.2261543294,34.9976340977
8.33296226381,53.9585158352,58.9517927788,39.1640608409,16.2918334726
13.8278153913,23.4801494796,55.1926514233,19.0981672845,11.6919137554
25.0019307838,45.7193444678,52.9680773135,22.3452815343,15.3672455681
6.88082892299,16.0417800021,51.75987932,39.6457197911,40.2030625328
0.0,0.0,0.0,0.0,0.0
18.8927482083,19.6404071665,25.7428302603,21.5355133696,13.5534206731
10.3966273633,80.3609726872,211.650397355,42.912146515,16.9962261664
20.4534756187,80.4417742804,158.092707517,66.8045845842,67.0859351435
0.0,0.0,0.0,0.0,0.0
22.7010233412,28.2504551912,48.1260873149,31.3824024136,46.9287718507
26.5215551807,28.202106092,92.7086613531,37.2322250186,15.0712437727
13.741029789,42.1834737742,60.1661998035,45.8503661531,15.4270961919
27.1997912712,44.497465372,71.2044328197,16.4548423737,12.0539619541
6.83843341456,15.8944836819,103.313878765,56.3114760177,33.9094722169
20.5197213601,42.5934390634,38.265428612,64.1302684486,23.5993802216
9.95454766283,22.9740192627,26.6400984771,26.3936690385,16.1288483202
15.5142800233,37.2733255689,63.191813617,53.3108958896,18.4304935085
31.7051852737,28.8416945938,43.6850864003,20.4804169718,23.7636213991
10.9932930772,27.2011293244,17.8906612118,21.2553595429,15.2312658987
5.42917971928,17.8578373833,34.5156221485,25.1772613842,20.3215613982
7.0446929726,26.9964862609,52.344290524,28.4184456877,20.5329427864
10.568323699,14.0115473006,60.2362240215,33.6972914883,33.4936864514
7.78668718001,15.0525112945,33.1936119406,42.1194902507,30.9941379235
9.38221223159,34.1808514999,41.0465628451,27.5385381124,18.3880382827
41.3938206338,54.6438555921,191.894458502,83.802223042,15.0237671344
7.2451814207,24.5471165528,27.9323714012,50.8727768244,22.8181392317
10.065391503,51.0477421966,74.4226018664,42.1965803875,33.6600843499
11.0715952411,32.7693083284,75.1906519271,31.9257006573,10.9659879922
23.79514661,17.3020845195,44.4797004478,21.8982559687,8.60333452015
