,KIC,numax_apo,dnu_apo,Teff,[M/H]2,kic_kepmag
0,10907196,44.12,4.67,4808.0,-0.08,11.501
1,10962775,35.12,4.11,4819.0,-0.29,11.436
2,11177749,34.18,4.11,4612.0,0.06,10.898
3,11231549,30.25,3.4,4574.0,-0.03,10.958
5,11178396,28.3,3.85,5017.0,-0.81,11.689
8,11072334,79.25,6.68,4851.0,0.16,10.59
12,11232225,33.06,3.81,4623.0,0.22,11.765999999999998
16,11179815,36.21,4.17,4875.0,-0.08,10.402999999999999
17,11018710,53.34,5.39,4519.0,0.16,11.498
19,11180468,50.71,5.03,4556.0,0.23,10.38
23,11340165,33.0,4.06,4783.0,-0.26,11.752
27,11287679,45.53,4.79,4837.0,-0.23,11.155
28,11234625,34.41,4.17,4746.0,-0.14,11.525
35,11128910,36.71,4.2,4735.0,-0.11,11.112
36,11129153,27.16,3.72,4636.0,-0.37,11.54
39,11289335,35.94,4.17,4569.0,0.24,11.652999999999999
41,11289128,29.13,4.08,4931.0,-0.88,11.19
44,11129480,42.59,4.67,4710.0,0.21,11.311
45,11129945,51.03,4.91,4772.0,0.03,11.667
48,11236536,43.12,4.53,4607.0,0.07,11.059000000000001
49,11289822,72.4,6.75,4637.0,0.46,10.698
55,10651578,32.78,4.12,4822.0,-0.23,11.783
56,10651320,29.21,4.1,4926.0,-0.66,11.61
58,10847321,68.59,6.51,4671.0,0.2,11.755999999999998
60,11018922,33.47,4.13,4926.0,-0.38,11.635
61,11018745,35.0,3.97,4464.0,0.49,11.774000000000001
62,10848618,33.23,4.05,4697.0,-0.07,10.567
63,10908322,30.31,3.61,4855.0,-0.52,11.323
64,10964584,31.18,4.05,4744.0,-0.54,11.707
70,10784013,17.02,2.27,4408.0,-0.23,11.74
71,10849541,21.72,2.83,4467.0,-0.27,11.625
72,10718491,48.88,4.93,4663.0,0.03,11.383
75,10653383,41.36,4.42,4775.0,-0.05,10.936
80,11074543,56.87,5.95,4631.0,-0.24,11.790999999999999
81,11019954,34.64,4.18,4871.0,-0.27,10.425
82,11020211,104.63,9.72,4826.0,-0.48,10.436
83,11020101,122.66,8.52,4878.0,0.2,11.099
86,10910802,23.14,3.03,4462.0,0.2,11.675
89,11075908,37.93,4.33,4785.0,-0.12,11.748
90,10966458,32.13,3.93,4596.0,0.0,10.245999999999999
91,10910674,36.02,4.05,4579.0,-0.04,11.152999999999999
94,11551758,31.05,3.88,4729.0,-0.17,10.790999999999999
97,11499428,33.08,4.06,4832.0,-0.36,11.819
98,11551746,44.82,4.68,4841.0,-0.01,11.642999999999999
102,11394905,39.08,4.33,4830.0,-0.52,11.365
104,11550567,37.24,4.08,4861.0,-0.12,11.493
106,11498298,42.21,4.49,4874.0,-0.24,10.592
107,11704163,46.13,4.76,4547.0,-0.05,11.384
109,11341723,29.12,3.92,4802.0,-0.51,10.79
111,11287936,51.37,5.32,4615.0,0.03,10.589
114,11653073,37.26,4.26,4711.0,-0.03,11.389000000000001
123,11702195,50.86,5.59,4759.0,-0.46,10.642999999999999
124,11600208,30.68,4.13,4931.0,-0.49,11.414000000000001
127,11548940,24.09,3.1,4617.0,-0.23,11.627
131,11444313,33.34,4.01,4694.0,-0.04,11.311
133,11599342,131.3,10.65,4836.0,-0.14,10.289000000000001
134,11546913,183.56,13.16,4934.0,-0.2,11.145
141,11598116,18.39,2.47,4485.0,-0.29,11.615
142,11494312,37.99,4.27,4719.0,0.15,11.263
143,11441797,56.59,5.81,4709.0,-0.23,11.165
146,11442227,28.13,3.38,4654.0,0.06,11.427999999999999
147,11177727,31.83,3.74,4479.0,-0.17,11.517999999999999
151,11905840,120.8,10.21,4987.0,-0.31,11.640999999999998
152,11955410,33.3,4.07,4764.0,-0.15,10.865
153,12005162,160.59,12.8,4890.0,-0.21,10.535
157,11805460,37.08,4.21,4591.0,0.17,11.003
158,11805792,35.09,4.14,4720.0,-0.14,11.745999999999999
159,11855110,37.74,4.34,4714.0,-0.25,11.697000000000001
160,11754056,33.91,4.21,4648.0,0.11,11.752
161,11804677,20.63,2.32,4488.0,-0.02,10.675999999999998
162,11703230,33.16,4.03,4709.0,-0.19,11.249
166,11954465,103.81,9.28,4725.0,0.01,11.085999999999999
171,11954278,36.91,4.15,4572.0,0.14,11.374
174,11953849,35.65,4.2,4720.0,-0.06,11.196
175,12003742,61.84,5.38,4942.0,-0.1,11.405999999999999
177,11753018,63.74,6.0,4604.0,0.22,10.85
182,11752707,18.96,2.59,4457.0,-0.45,11.665999999999999
184,12003253,31.87,3.85,4643.0,-0.2,11.193
185,11953581,36.93,4.19,4670.0,0.41,10.503
192,11250152,29.95,3.55,4603.0,-0.23,11.77
193,11250139,38.75,4.56,4691.0,-0.46,10.732000000000001
195,11563791,41.82,4.95,4892.0,-1.36,11.003
196,11615224,30.46,4.02,4702.0,-0.03,10.91
199,11512096,31.58,4.08,4918.0,-0.49,10.305
200,11564307,36.15,4.02,4760.0,-0.01,11.200999999999999
201,11668246,39.3,4.27,4746.0,0.31,11.649000000000001
202,11668036,41.51,4.43,4870.0,0.08,10.677999999999999
203,11667928,30.77,3.78,4782.0,-0.22,10.818
208,11357004,24.9,3.1,4570.0,-0.22,10.359000000000002
209,11513798,91.02,8.3,4749.0,0.33,11.069
211,11617622,32.13,3.87,4719.0,0.12,11.682
213,11669113,23.68,2.92,4587.0,-0.06,11.543
215,11410217,225.92,15.87,5136.0,0.19,11.635
216,11514322,60.46,5.7,4776.0,0.18,11.273
217,11410549,36.86,4.13,4953.0,0.14,10.402000000000001
218,11357686,55.69,5.84,4734.0,-0.03,11.795
220,11463411,51.71,4.54,5149.0,-0.1,10.892999999999999
222,11515377,192.85,14.66,5210.0,-0.15,10.751
225,11721438,110.14,8.68,5037.0,0.22,11.747
226,11669622,35.02,4.01,4928.0,-0.25,11.193
229,11567572,57.1,5.42,4860.0,0.37,11.445
230,11568605,48.77,4.83,4702.0,0.2,10.719000000000001
231,11517524,103.13,8.82,4787.0,0.26,11.335
232,11567563,43.71,4.37,4728.0,0.1,11.607000000000001
234,11518492,52.61,5.32,4668.0,0.11,11.207
235,11413158,56.95,4.97,4892.0,0.08,10.507
236,11465784,34.73,4.22,4685.0,-0.02,11.644
237,11569659,31.69,4.08,4768.0,-0.32,11.508
239,11519991,99.05,8.21,5040.0,-0.17,10.333
242,11623012,36.17,4.27,4779.0,-0.14,11.581
243,11621486,36.21,4.12,4599.0,-0.37,11.497
247,11521352,106.07,9.17,4809.0,-0.09,11.535
248,11572172,31.82,3.94,4717.0,-0.12,10.749
249,11521197,67.85,6.13,4685.0,-0.03,11.495999999999999
250,11468340,41.81,4.71,4823.0,-0.05,11.758
253,11673900,43.0,4.56,4677.0,0.04,11.46
254,11674692,84.45,6.97,4888.0,0.32,11.5
255,11775398,33.26,4.16,4778.0,0.04,10.232999999999999
256,11775511,47.27,5.21,4617.0,-0.34,10.307
257,11090395,37.42,4.2,4738.0,-0.2,11.47
258,11037290,42.46,4.41,4730.0,0.17,10.386
259,11037219,118.02,8.45,4975.0,0.26,10.219
260,11090673,22.14,2.26,4884.0,-0.32,11.626
262,11251136,28.88,3.2,4640.0,0.13,11.453
