KIC,Imag,Teff,[M/H]2,dnu,kic_kepmag,numax
10907196,9.74537682896,4808,-0.08,4.67,11.501,44.12
10962775,9.85629157162,4819,-0.29,4.11,11.436,35.12
11177749,10.1851563785,4612,0.06,4.11,10.898,34.18
11231549,9.91222939441,4574,-0.03,3.4,10.958,30.25
11178396,11.017179542,5017,-0.81,3.85,11.689,28.3
11072334,10.1734610306,4851,0.16,6.68,10.59,79.25
11232225,11.1690902185,4623,0.22,3.81,11.766,33.06
11179815,9.60638242064,4875,-0.08,4.17,10.403,36.21
11018710,10.646736591,4519,0.16,5.39,11.498,53.34
11180468,8.81935176413,4556,0.23,5.03,10.38,50.71
11340165,10.8658687248,4783,-0.26,4.06,11.752,33.0
11287679,10.567776244,4837,-0.23,4.79,11.155,45.53
11234625,10.2000201472,4746,-0.14,4.17,11.525,34.41
11128910,9.97932802588,4735,-0.11,4.2,11.112,36.71
11129153,11.0687209177,4636,-0.37,3.72,11.54,27.16
11289335,10.9162590775,4569,0.24,4.17,11.653,35.94
11289128,10.3051587105,4931,-0.88,4.08,11.19,29.13
11129480,9.99990029952,4710,0.21,4.67,11.311,42.59
11129945,11.067086675,4772,0.03,4.91,11.667,51.03
11236536,10.9108958242,4607,0.07,4.53,11.059,43.12
11289822,9.8035674491,4637,0.46,6.75,10.698,72.4
10651578,11.0366673706,4822,-0.23,4.12,11.783,32.78
10651320,10.7217972393,4926,-0.66,4.1,11.61,29.21
10847321,10.9512889347,4671,0.2,6.51,11.756,68.59
11018922,10.6494057862,4926,-0.38,4.13,11.635,33.47
11018745,10.6109670911,4464,0.49,3.97,11.774,35.0
10848618,9.31846566673,4697,-0.07,4.05,10.567,33.23
10908322,11.0882210354,4855,-0.52,3.61,11.323,30.31
10964584,10.828879586,4744,-0.54,4.05,11.707,31.18
10784013,10.7724331714,4408,-0.23,2.27,11.74,17.02
10849541,10.3887209177,4467,-0.27,2.83,11.625,21.72
10718491,10.5363824206,4663,0.03,4.93,11.383,48.88
10653383,10.2306660671,4775,-0.05,4.42,10.936,41.36
11074543,10.778778777,4631,-0.24,5.95,11.791,56.87
11019954,9.94534691798,4871,-0.27,4.18,10.425,34.64
11020211,9.65775084522,4826,-0.48,9.72,10.436,104.63
11020101,10.0706707222,4878,0.2,8.52,11.099,122.66
10910802,10.8369167846,4462,0.2,3.03,11.675,23.14
11075908,10.8419579427,4785,-0.12,4.33,11.748,37.93
10966458,9.44214539475,4596,0.0,3.93,10.246,32.13
10910674,9.8336520672,4579,-0.04,4.05,11.153,36.02
11551758,10.0751563785,4729,-0.17,3.88,10.791,31.05
11499428,11.164808568,4832,-0.36,4.06,11.819,33.08
11551746,10.8341828867,4841,-0.01,4.68,11.643,44.82
11394905,11.0751587105,4830,-0.52,4.33,11.365,39.08
11550567,10.4363824206,4861,-0.12,4.08,11.493,37.24
11498298,9.72214539475,4874,-0.24,4.49,10.592,42.21
11704163,10.8408958242,4547,-0.05,4.76,11.384,46.13
11341723,9.85889902625,4802,-0.51,3.92,10.79,29.12
11287936,9.67214539475,4615,0.03,5.32,10.589,51.37
11653073,11.1518209934,4711,-0.03,4.26,11.389,37.26
11702195,9.56009780529,4759,-0.46,5.59,10.643,50.86
11600208,10.5025888787,4931,-0.49,4.13,11.414,30.68
11548940,9.81790719082,4617,-0.23,3.1,11.627,24.09
11444313,10.7448459156,4694,-0.04,4.01,11.311,33.34
11599342,9.31214539475,4836,-0.14,10.65,10.289,131.3
11546913,10.5535674491,4934,-0.2,13.16,11.145,183.56
11598116,10.7760611735,4485,-0.29,2.47,11.615,18.39
11494312,10.233472525,4719,0.15,4.27,11.263,37.99
11441797,10.1559802941,4709,-0.23,5.81,11.165,56.59
11442227,9.80582381715,4654,0.06,3.38,11.428,28.13
11177727,10.8048459156,4479,-0.17,3.74,11.518,31.83
11905840,10.8831060756,4987,-0.31,10.21,11.641,120.8
11955410,10.1707056071,4764,-0.15,4.07,10.865,33.3
12005162,10.067776244,4890,-0.21,12.8,10.535,160.59
11805460,10.2521453947,4591,0.17,4.21,11.003,37.08
11805792,10.049596828,4720,-0.14,4.14,11.746,35.09
11855110,10.8735253971,4714,-0.25,4.34,11.697,37.74
11754056,10.9512889347,4648,0.11,4.21,11.752,33.91
11804677,9.89872091767,4488,-0.02,2.32,10.676,20.63
11703230,10.9379989158,4709,-0.19,4.03,11.249,33.16
11954465,9.633320742,4725,0.01,9.28,11.086,103.81
11954278,10.193472525,4572,0.14,4.15,11.374,36.91
11953849,10.7834610306,4720,-0.06,4.2,11.196,35.65
12003742,10.1049300285,4942,-0.1,5.38,11.406,61.84
11753018,10.328778777,4604,0.22,6.0,10.85,63.74
11752707,10.6909670911,4457,-0.45,2.59,11.666,18.96
12003253,10.5363824206,4643,-0.2,3.85,11.193,31.87
11953581,9.39179723934,4670,0.41,4.19,10.503,36.93
11250152,11.1105932904,4603,-0.23,3.55,11.77,29.95
11250139,10.4513074139,4691,-0.46,4.56,10.732,38.75
11563791,10.4135848416,4892,-1.36,4.95,11.003,41.82
11615224,10.539707411,4702,-0.03,4.02,10.91,30.46
11512096,9.90625907746,4918,-0.49,4.08,10.305,31.58
11564307,10.537086675,4760,-0.01,4.02,11.201,36.15
11668246,10.9452353889,4746,0.31,4.27,11.649,39.3
11668036,9.82872091767,4870,0.08,4.43,10.678,41.51
11667928,10.1287209177,4782,-0.22,3.78,10.818,30.77
11357004,9.63484764113,4570,-0.22,3.1,10.359,24.9
11513798,9.83790719082,4749,0.33,8.3,11.069,91.02
11617622,10.9452353889,4719,0.12,3.87,11.682,32.13
11669113,10.8990935039,4587,-0.06,2.92,11.543,23.68
11410217,10.8390464913,5136,0.19,15.87,11.635,225.92
11514322,9.9636520672,4776,0.18,5.7,11.273,60.46
11410549,9.55058727953,4953,0.14,4.13,10.402,36.86
11357686,11.0936165871,4734,-0.03,5.84,11.795,55.69
11463411,10.0506660671,5149,-0.1,4.54,10.893,51.71
11515377,10.2290935039,5210,-0.15,14.66,10.751,192.85
11721438,11.1708299971,5037,0.22,8.68,11.747,110.14
11669622,10.6531041934,4928,-0.25,4.01,11.193,35.02
11567572,9.81935176413,4860,0.37,5.42,11.445,57.1
11568605,10.1584381746,4702,0.2,4.83,10.719,48.77
11517524,10.1599002995,4787,0.26,8.82,11.335,103.13
11567563,10.8450410555,4728,0.1,4.37,11.607,43.71
11518492,10.4589506809,4668,0.11,5.32,11.207,52.61
11413158,9.64708667503,4892,0.08,4.97,10.507,56.95
11465784,11.1735392901,4685,-0.02,4.22,11.644,34.73
11569659,10.2877778872,4768,-0.32,4.08,11.508,31.69
11519991,9.76070560712,5040,-0.17,8.21,10.333,99.05
11623012,10.5351587105,4779,-0.14,4.27,11.581,36.17
11621486,10.5286621822,4599,-0.37,4.12,11.497,36.21
11521352,10.4855289689,4809,-0.09,9.17,11.535,106.07
11572172,10.1019579427,4717,-0.12,3.94,10.749,31.82
11521197,10.7054605871,4685,-0.03,6.13,11.496,67.85
11468340,11.8805092844,4823,-0.05,4.71,11.758,41.81
11673900,10.5472075162,4677,0.04,4.56,11.46,43.0
11674692,10.5411361155,4888,0.32,6.97,11.5,84.45
11775398,9.47892647824,4778,0.04,4.16,10.233,33.26
11775511,9.608879586,4617,-0.34,5.21,10.307,47.27
11090395,11.0834610306,4738,-0.2,4.2,11.47,37.42
11037290,9.77066606706,4730,0.17,4.41,10.386,42.46
11037219,9.52023004179,4975,0.26,8.45,10.219,118.02
11090673,10.7870752794,4884,-0.32,2.26,11.626,22.14
11251136,11.1782210354,4640,0.13,3.2,11.453,28.88
11250488,10.6179989158,4582,-0.11,2.87,11.193,24.39
11252233,11.3032937047,4792,0.09,3.73,11.692,31.49
11251837,9.85843817463,4602,0.25,3.45,10.641,28.13
11357931,10.0722293944,4923,-0.12,4.14,11.427,36.16
11197457,9.75956330947,4832,0.0,4.46,11.534,39.71
11145563,11.1940572234,4962,-0.37,3.85,11.78,30.3
11146230,9.88023004179,4975,-0.38,4.4,10.532,32.23
10983401,9.93909350387,5093,0.2,7.67,10.615,92.86
11146152,10.491455026,4637,0.29,3.56,11.135,32.0
11359175,11.1448358771,4814,0.0,4.18,11.613,35.32
11358755,10.0900978053,4651,0.01,3.99,11.464,37.03
11252437,10.518778777,4632,0.17,3.41,11.085,26.83
11305250,10.5290935039,5145,-0.08,7.48,11.234,93.81
11146647,11.0695960805,4615,0.03,3.36,11.669,30.52
11199105,10.6368949267,4591,0.38,3.76,11.622,32.02
11199783,10.5411361155,4891,0.12,4.68,11.469,45.14
11252706,11.1559638327,4943,-0.03,4.51,11.687,41.73
11360886,10.1009670911,4723,-0.08,4.19,11.064,44.98
11413138,10.646736591,4588,0.19,4.6,11.535,46.02
11200573,11.1035674491,4714,0.02,4.04,11.774,33.66
11307599,10.7207881934,4872,-0.36,4.17,11.541,35.58
11308784,11.1994057862,4677,-0.26,6.12,11.448,61.58
11308660,9.81793113169,4607,0.14,4.28,10.911,36.86
11361765,10.2262590775,4804,-0.33,9.22,10.829,103.1
11414700,10.4100572758,4790,-0.07,4.22,11.371,37.72
12121377,10.8135125329,4755,-0.1,4.49,11.752,43.21
