typed ident ,coord2 (GalJ2000/2000),  coord3 (EclJ2000/2000)  ,Mag U ,Mag B ,Mag V ,Mag R ,Mag I 
KIC 10907196,null                   ,299.908326 +70.301757      ,     ~,13.16,11.54,     ~,     ~,
KIC 10962775,null                   ,299.789148 +70.336693      ,     ~,12.61,11.23,     ~,     ~,
KIC 11177749,null                   ,299.594223 +70.776164      ,     ~,12.3,11.23,     ~,     ~,
KIC 11231549,null                   ,300.482913 +70.840932      ,     ~,12.69,11.3,     ~,     ~,
KIC 11178396,null                   ,300.564617 +70.769093      ,     ~,     ~,     ~,     ~,     ~,
KIC 11072334,null                   ,301.0745705 +70.4071447    ,     ~,11.89,11.05,     ~,     ~,
KIC 11232225,null                   ,301.408478 +70.760069      ,     ~,     ~,     ~,     ~,     ~,
KIC 11179815,null                   ,302.2797637 +70.5199939    ,     ~,11.65,10.62,     ~,     ~,
KIC 11018710,null                   ,302.125720 +70.262104      ,     ~,     ~,     ~,     ~,     ~,
KIC 11180468,null                   ,302.9723290 +70.4429568    ,     ~,11.88,10.38,     ~,     ~,
KIC 11340165,null                   ,303.323138 +70.707911      ,     ~,     ~,     ~,     ~,     ~,
KIC 11287679,null                   ,303.939541 +70.522095      ,     ~,12.18,11.4,     ~,     ~,
KIC 11234625,null                   ,304.015874 +70.425827      ,     ~,12.86,11.52,     ~,     ~,
KIC 11128910,null                   ,305.252266 +70.107451      ,     ~,12.36,11.15,     ~,     ~,
KIC 11129153,null                   ,305.486945 +70.070569      ,     ~,13.13,12.09,     ~,     ~,
KIC 11289335,null                   ,306.032820 +70.293312      ,     ~,12.65,11.8,     ~,     ~,
KIC 11289128,null                   ,305.739471 +70.307869      ,     ~,12.21,11.26,     ~,     ~,
KIC 11129480,null                   ,305.822074 +69.978570      ,     ~,12.57,11.27,     ~,     ~,
KIC 11129945,null                   ,306.411027 +69.937191      ,     ~,13.2,12.12,     ~,     ~,
KIC 11236536,null                   ,306.274102 +70.119821      ,     ~,12.47,11.72,     ~,     ~,
KIC 11289822,null                   ,306.574070 +70.179293      ,     ~,12.01,10.89,     ~,     ~,
KIC 10651578,null                   ,300.609095 +69.743017      ,     ~,     ~,     ~,     ~,     ~,
KIC 10651320,null                   ,300.303641 +69.772950      ,     ~,13.27,11.98,     ~,     ~,
KIC 10847321,null                   ,300.261150 +70.112968      ,     ~,13.68,11.94,     ~,     ~,
KIC 11018922,null                   ,302.282673 +70.203978      ,     ~,12.52,11.59,     ~,     ~,
KIC 11018745,null                   ,302.119560 +70.221942      ,     ~,12.69,11.64,     ~,     ~,
KIC 10848618,null                   ,301.5840642 +69.9614533    ,     ~,12.17,10.75,     ~,     ~,
KIC 10908322,null                   ,301.213272 +70.085924      ,     ~,12.52,11.84,     ~,     ~,
KIC 10964584,null                   ,302.034055 +70.137433      ,     ~,12.82,11.82,     ~,     ~,
KIC 10784013,null                   ,301.893667 +69.855172      ,     ~,     ~,     ~,     ~,     ~,
KIC 10849541,null                   ,302.565543 +69.906413      ,     ~,12.45,11.41,     ~,     ~,
KIC 10718491,null                   ,302.353622 +69.685164      ,     ~,12.58,11.55,     ~,     ~,
KIC 10653383,null                   ,302.422389 +69.543758      ,     ~,12.05,11.15,     ~,     ~,
KIC 11074543,null                   ,303.592554 +70.125410      ,     ~,12.32,11.58,     ~,     ~,
KIC 11019954,null                   ,303.6411571 +70.1111731    ,     ~,11.61,10.8,     ~,     ~,
KIC 11020211,null                   ,303.860262 +69.982397      ,     ~,11.46,10.57,     ~,     ~,
KIC 11020101,null                   ,303.822802 +70.084087      ,     ~,     ~,     ~,     ~,     ~,
KIC 10910802,null                   ,304.109155 +69.784785      ,     ~,     ~,     ~,     ~,     ~,
KIC 11075908,null                   ,305.254177 +69.951019      ,     ~,12.61,11.74,     ~,     ~,
KIC 10966458,null                   ,304.163504 +69.847017      ,     ~,11.63,10.52,     ~,     ~,
KIC 10910674,null                   ,304.019980 +69.851060      ,     ~,12.54,11.18,     ~,     ~,
KIC 11551758,null                   ,306.681429 +70.780103      ,     ~,12.19,11.12,     ~,     ~,
KIC 11499428,null                   ,306.291893 +70.721955      ,     ~,     ~,     ~,     ~,     ~,
KIC 11551746,null                   ,306.633028 +70.754168      ,     ~,13.22,11.28,     ~,     ~,
KIC 11394905,null                   ,305.857473 +70.506430      ,     ~,12.98,12.03,     ~,     ~,
KIC 11550567,null                   ,305.021341 +70.906066      ,     ~,12.48,11.45,     ~,     ~,
KIC 11498298,null                   ,304.9068739 +70.8208166    ,     ~,11.91,10.8,     ~,     ~,
KIC 11704163,null                   ,305.709995 +71.157052      ,     ~,12.4,11.65,     ~,     ~,
KIC 11341723,null                   ,305.196234 +70.479187      ,     ~,12.01,10.92,     ~,     ~,
KIC 11287936,null                   ,304.345463 +70.543911      ,     ~,11.86,10.75,     ~,     ~,
KIC 11653073,null                   ,304.843832 +71.172116      ,     ~,12.47,11.85,     ~,     ~,
KIC 11702195,null                   ,303.185847 +71.452562      ,     ~,12.29,10.92,     ~,     ~,
KIC 11600208,null                   ,302.965237 +71.315554      ,     ~,     ~,     ~,     ~,     ~,
KIC 11548940,null                   ,303.012159 +71.185045      ,     ~,12.62,11.22,     ~,     ~,
KIC 11444313,null                   ,302.323391 +71.096879      ,     ~,12.53,11.65,     ~,     ~,
KIC 11599342,null                   ,301.8402715 +71.4178510    ,     ~,11.5,10.39,     ~,     ~,
KIC 11546913,null                   ,300.252987 +71.481406      ,     ~,12.76,11.64,     ~,     ~,
KIC 11598116,null                   ,300.164554 +71.593345      ,     ~,     ~,     ~,     ~,     ~,
KIC 11494312,null                   ,299.899313 +71.391810      ,     ~,12.76,11.48,     ~,     ~,
KIC 11441797,null                   ,299.036095 +71.448845      ,     ~,12.4,11.26,     ~,     ~,
KIC 11442227,null                   ,299.563103 +71.350122      ,     ~,12.95,11.42,     ~,     ~,
KIC 11177727,null                   ,299.636237 +70.869491      ,     ~,12.59,11.71,     ~,     ~,
KIC 11905840,null                   ,305.852528 +71.634238      ,     ~,     ~,     ~,     ~,     ~,
KIC 11955410,null                   ,305.945286 +71.650331      ,     ~,11.87,11.04,     ~,     ~,
KIC 12005162,null                   ,305.992014 +71.760764      ,     ~,11.68,10.9,     ~,     ~,
KIC 11805460,null                   ,305.904737 +71.419934      ,     ~,12.44,11.33,     ~,     ~,
KIC 11805792,null                   ,306.243413 +71.315504      ,     ~,13.63,11.96,     ~,     ~,
KIC 11855110,null                   ,304.986123 +71.591795      ,     ~,14.1,11.84,     ~,     ~,
KIC 11754056,null                   ,304.661797 +71.407953      ,     ~,     ~,     ~,     ~,     ~,
KIC 11804677,null                   ,304.775250 +71.473772      ,     ~,11.96,10.92,     ~,     ~,
KIC 11703230,null                   ,304.550938 +71.338724      ,     ~,12.62,11.8,     ~,     ~,
KIC 11954465,null                   ,304.827622 +71.865387      ,     ~,12.46,11.05,     ~,     ~,
KIC 11954278,null                   ,304.502931 +71.839593      ,     ~,12.72,11.44,     ~,     ~,
KIC 11953849,null                   ,303.956737 +71.901370      ,     ~,12.5,11.66,     ~,     ~,
KIC 12003742,null                   ,304.118052 +72.025365      ,     ~,12.61,11.34,     ~,     ~,
KIC 11753018,null                   ,303.373537 +71.599024      ,     ~,11.87,11.13,     ~,     ~,
KIC 11752707,null                   ,302.983408 +71.654949      ,     ~,12.77,11.72,     ~,     ~,
KIC 12003253,null                   ,303.482874 +72.061361      ,     ~,12.58,11.55,     ~,     ~,
KIC 11953581,null                   ,303.673724 +71.977901      ,     ~,11.94,10.65,     ~,     ~,
KIC 11250152,null                   ,317.831135 +68.302274      ,     ~,     ~,     ~,     ~,     ~,
KIC 11250139,null                   ,317.869433 +68.341734      ,     ~,11.92,11.22,     ~,     ~,
KIC 11563791,null                   ,317.9995963 +69.0376068    ,     ~,12.25,11.34,     ~,     ~,
KIC 11615224,null                   ,317.931901 +69.098582      ,     ~,11.99,11.3,     ~,     ~,
KIC 11512096,null                   ,317.7170878 +68.9244630    ,     ~,11.64,10.79,     ~,     ~,
KIC 11564307,null                   ,318.233669 +68.890979      ,     ~,12.67,11.59,     ~,     ~,
KIC 11668246,null                   ,319.593138 +68.910093      ,     ~,13.68,11.95,     ~,     ~,
KIC 11668036,null                   ,319.4400500 +68.9542819    ,     ~,11.89,10.85,     ~,     ~,
