typed ident ,       identifier        ,coord2 (Ecl,J2000/2000),  plx  ,Mag B ,Mag V 
KIC 10907196,KIC 10907196             ,null                   ,0.52,13.16,11.54,
KIC 10962775,KIC 10962775             ,null                   ,0.49,12.61,11.23,
KIC 11177749,KIC 11177749             ,null                   ,      ~,12.3,11.23,
KIC 11231549,KIC 11231549             ,null                   ,0.74,12.69,11.3,
KIC 11178396,KIC 11178396             ,null                   ,      ~,     ~,     ~,
KIC 11072334,KIC 11072334             ,null                   ,0.89,11.89,11.05,
KIC 11232225,KIC 11232225             ,null                   ,      ~,     ~,     ~,
KIC 11179815,KIC 11179815             ,null                   ,1.06,11.65,10.62,
KIC 11018710,KIC 11018710             ,null                   ,      ~,     ~,     ~,
KIC 11180468,KIC 11180468             ,null                   ,1.34,11.88,10.38,
KIC 11340165,KIC 11340165             ,null                   ,      ~,     ~,     ~,
KIC 11287679,KIC 11287679             ,null                   ,0.39,12.18,11.4,
KIC 11234625,KIC 11234625             ,null                   ,0.91,12.86,11.52,
KIC 11128910,KIC 11128910             ,null                   ,0.69,12.36,11.15,
KIC 11129153,KIC 11129153             ,null                   ,0.84,13.13,12.09,
KIC 11289335,KIC 11289335             ,null                   ,0.3,12.65,11.8,
KIC 11289128,KIC 11289128             ,null                   ,0.4,12.21,11.26,
KIC 11129480,KIC 11129480             ,null                   ,-0.11,12.57,11.27,
KIC 11129945,KIC 11129945             ,null                   ,0.6,13.2,12.12,
KIC 11236536,KIC 11236536             ,null                   ,1.44,12.47,11.72,
KIC 11289822,KIC 11289822             ,null                   ,1.48,12.01,10.89,
KIC 10651578,KIC 10651578             ,null                   ,      ~,     ~,     ~,
KIC 10651320,KIC 10651320             ,null                   ,0.92,13.27,11.98,
KIC 10847321,KIC 10847321             ,null                   ,1.19,13.68,11.94,
KIC 11018922,KIC 11018922             ,null                   ,0.58,12.52,11.59,
KIC 11018745,KIC 11018745             ,null                   ,0.91,12.69,11.64,
KIC 10848618,KIC 10848618             ,null                   ,0.8,12.17,10.75,
KIC 10908322,KIC 10908322             ,null                   ,0.52,12.52,11.84,
KIC 10964584,KIC 10964584             ,null                   ,0.81,12.82,11.82,
KIC 10784013,KIC 10784013             ,null                   ,      ~,     ~,     ~,
KIC 10849541,KIC 10849541             ,null                   ,0.47,12.45,11.41,
KIC 10718491,KIC 10718491             ,null                   ,0.74,12.58,11.55,
KIC 10653383,KIC 10653383             ,null                   ,0.84,12.05,11.15,
KIC 11074543,KIC 11074543             ,null                   ,0.89,12.32,11.58,
KIC 11019954,KIC 11019954             ,null                   ,0.94,11.61,10.8,
KIC 11020211,KIC 11020211             ,null                   ,1.83,11.46,10.57,
KIC 11020101,KIC 11020101             ,null                   ,      ~,     ~,     ~,
KIC 10910802,KIC 10910802             ,null                   ,      ~,     ~,     ~,
KIC 11075908,KIC 11075908             ,null                   ,0.47,12.61,11.74,
KIC 10966458,KIC 10966458             ,null                   ,0.96,11.63,10.52,
KIC 10910674,KIC 10910674             ,null                   ,0.79,12.54,11.18,
KIC 11551758,KIC 11551758             ,null                   ,0.66,12.19,11.12,
KIC 11499428,KIC 11499428             ,null                   ,      ~,     ~,     ~,
KIC 11551746,KIC 11551746             ,null                   ,0.49,13.22,11.28,
KIC 11394905,KIC 11394905             ,null                   ,0.77,12.98,12.03,
