KIC,Bmag,Vmag,e_lng,e_lat,B-V,V-I,Imag
KIC 10907196,13.16,11.54,299.908326,70.301757,1.62,1.79462317104,9.74537682896
KIC 10962775,12.61,11.23,299.789148,70.336693,1.38,1.37370842838,9.85629157162
KIC 11177749,12.3,11.23,299.594223,70.776164,1.07,1.04484362146,10.1851563785
KIC 11231549,12.69,11.3,300.482913,70.840932,1.39,1.38777060559,9.91222939441
KIC 11072334,11.89,11.05,301.0745705,70.4071447,0.84,0.876538969427,10.1734610306
KIC 11179815,11.65,10.62,302.2797637,70.5199939,1.03,1.01361757936,9.60638242064
KIC 11180468,11.88,10.38,302.972329,70.4429568,1.5,1.56064823588,8.81935176413
KIC 11287679,12.18,11.4,303.939541,70.522095,0.78,0.832223756011,10.567776244
KIC 11234625,12.86,11.52,304.015874,70.425827,1.34,1.31997985279,10.2000201472
KIC 11128910,12.36,11.15,305.252266,70.107451,1.21,1.17067197412,9.97932802588
KIC 11129153,13.13,12.09,305.486945,70.070569,1.04,1.02127908233,11.0687209177
KIC 11289335,12.65,11.8,306.03282,70.293312,0.85,0.883740922541,10.9162590775
KIC 11289128,12.21,11.26,305.739471,70.307869,0.95,0.954841289507,10.3051587105
KIC 11129480,12.57,11.27,305.822074,69.97857,1.3,1.27009970048,9.99990029952
KIC 11129945,13.2,12.12,306.411027,69.937191,1.08,1.05291332497,11.067086675
KIC 11236536,12.47,11.72,306.274102,70.119821,0.75,0.809104175792,10.9108958242
KIC 11289822,12.01,10.89,306.57407,70.179293,1.12,1.0864325509,9.8035674491
KIC 10651320,13.27,11.98,300.303641,69.77295,1.29,1.25820276066,10.7217972393
KIC 11018922,12.52,11.59,302.282673,70.203978,0.93,0.940594213806,10.6494057862
KIC 11018745,12.69,11.64,302.11956,70.221942,1.05,1.02903290892,10.6109670911
KIC 10848618,12.17,10.75,301.5840642,69.9614533,1.42,1.43153433327,9.31846566673
KIC 10908322,12.52,11.84,301.213272,70.085924,0.68,0.751778964576,11.0882210354
KIC 10964584,12.82,11.82,302.034055,70.137433,1.0,0.991120414,10.828879586
KIC 10849541,12.45,11.41,302.565543,69.906413,1.04,1.02127908233,10.3887209177
KIC 10718491,12.58,11.55,302.353622,69.685164,1.03,1.01361757936,10.5363824206
KIC 10653383,12.05,11.15,302.422389,69.543758,0.9,0.91933393294,10.2306660671
KIC 11074543,12.32,11.58,303.592554,70.12541,0.74,0.801221222994,10.778778777
