 #  ;typed ident ;       identifier        ;typ;  coord1 (ICRS,J2000/2000)   ;  plx  ; radvel  ;  redshift  ;    cz    ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;#bib
1   ;KIC 10907196;KIC 10907196             ;*  ;18 58 37.82984 +48 22 49.3301;   0.64;0.35     ;0.000001    ;0.35      ;     ~;13.16 ;11.54 ;     ~;     ~;   7
2   ;KIC 10962775;KIC 10962775             ;*  ;18 58 20.20452 +48 24 06.3381;   0.62;5.99     ;0.000020    ;5.99      ;     ~;12.61 ;11.23 ;     ~;     ~;   5
3   ;KIC 11177749;KIC 11177749             ;RG*;18 57 10.20625 +48 48 06.8039;   0.89;-26.16   ;-0.000087   ;-26.16    ;     ~;12.30 ;11.23 ;     ~;     ~;  10
4   ;KIC 11231549;KIC 11231549             ;RG*;18 58 44.64565 +48 57 07.5571;   0.78;-57.47   ;-0.000192   ;-57.46    ;     ~;12.69 ;11.30 ;     ~;     ~;   6
5   ;KIC 11178396;KIC 11178396             ;*  ;18 59 02.04447 +48 53 31.1628;   0.58;-28.33   ;-0.000094   ;-28.33    ;     ~;     ~;     ~;     ~;     ~;   6
6   ;KIC 11072334;KIC 11072334             ;RG*;19 00 41.44801 +48 36 00.5028;   1.11;12.27    ;0.000041    ;12.27     ;     ~;11.89 ;11.05 ;     ~;     ~;   7
7   ;KIC 11232225;KIC 11232225             ;*  ;19 00 39.58108 +48 58 12.2346;   0.60;-20.36   ;-0.000068   ;-20.36    ;     ~;     ~;     ~;     ~;     ~;   5
8   ;KIC 11179815;KIC 11179815             ;Er*;19 02 47.51435 +48 50 05.2990;   1.07;-6.39    ;-0.000021   ;-6.39     ;     ~;11.65 ;10.62 ;     ~;     ~;   7
9   ;KIC 11018710;KIC 11018710             ;RG*;19 02 59.82940 +48 34 26.2714;   0.87;-26.38   ;-0.000088   ;-26.38    ;     ~;     ~;     ~;     ~;     ~;   6
10  ;KIC 11180468;KIC 11180468             ;RG*;19 04 16.42802 +48 50 14.2337;   1.29;-6.85    ;-0.000023   ;-6.85     ;     ~;11.88 ;10.38 ;     ~;     ~;   6
11  ;KIC 11340165;KIC 11340165             ;RG*;19 04 24.56370 +49 07 33.5553;   0.58;-58.35   ;-0.000195   ;-58.34    ;     ~;     ~;     ~;     ~;     ~;   5
12  ;KIC 11287679;KIC 11287679             ;RG*;19 05 58.03204 +49 01 11.2307;   0.64;-8.66    ;-0.000029   ;-8.66     ;     ~;12.18 ;11.40 ;     ~;     ~;   6
13  ;KIC 11234625;KIC 11234625             ;RG*;19 06 18.72179 +48 56 16.1884;   0.64;22.23    ;0.000074    ;22.23     ;     ~;12.86 ;11.52 ;     ~;     ~;   6
14  ;KIC 11128910;KIC 11128910             ;RG*;19 09 21.63417 +48 46 56.3740;   0.70;-8.37    ;-0.000028   ;-8.37     ;     ~;12.36 ;11.15 ;     ~;     ~;   7
15  ;KIC 11129153;KIC 11129153             ;RG*;19 09 53.62514 +48 46 32.5303;   0.72;~        ;~           ;~         ;     ~;13.13 ;12.09 ;     ~;     ~;   6
16  ;KIC 11289335;KIC 11289335             ;RG*;19 10 28.06984 +49 02 58.3022;   0.61;-43.08   ;-0.000144   ;-43.08    ;     ~;12.65 ;11.80 ;     ~;     ~;   6
17  ;KIC 11289128;KIC 11289128             ;RG*;19 09 52.34158 +49 01 40.5717;   0.77;-80.17   ;-0.000267   ;-80.16    ;     ~;12.21 ;11.26 ;     ~;     ~;   5
18  ;KIC 11129480;KIC 11129480             ;RG*;19 10 44.42847 +48 43 47.1415;   0.40;2.01     ;0.000007    ;2.01      ;     ~;12.57 ;11.27 ;     ~;     ~;   6
19  ;KIC 11129945;KIC 11129945             ;RG*;19 11 58.42717 +48 45 46.5759;   0.55;-57.70   ;-0.000192   ;-57.69    ;     ~;13.20 ;12.12 ;     ~;     ~;   6
20  ;KIC 11236536;KIC 11236536             ;RG*;19 11 18.66042 +48 54 59.9095;   0.93;-7.59    ;-0.000025   ;-7.59     ;     ~;12.47 ;11.72 ;     ~;     ~;   6
21  ;KIC 11289822;KIC 11289822             ;Er*;19 11 45.59087 +49 00 31.7364;   1.56;-33.19   ;-0.000111   ;-33.19    ;     ~;12.01 ;10.89 ;     ~;     ~;   4
22  ;KIC 10651578;KIC 10651578             ;*  ;19 01 00.33816 +47 55 09.5659;   0.55;4.37     ;0.000015    ;4.37      ;     ~;     ~;     ~;     ~;     ~;   7
23  ;KIC 10651320;KIC 10651320             ;RG*;19 00 21.03137 +47 54 58.2659;   0.62;-76.92   ;-0.000257   ;-76.91    ;     ~;13.27 ;11.98 ;     ~;     ~;   6
24  ;KIC 10847321;KIC 10847321             ;RG*;18 59 39.34344 +48 14 09.7798;   0.88;-49.02   ;-0.000163   ;-49.02    ;     ~;13.68 ;11.94 ;     ~;     ~;   6
25  ;KIC 11018922;KIC 11018922             ;*  ;19 03 24.81058 +48 32 08.9233;   0.52;-11.67   ;-0.000039   ;-11.67    ;     ~;12.52 ;11.59 ;     ~;     ~;   7
26  ;KIC 11018745;KIC 11018745             ;*  ;19 03 03.79477 +48 32 06.6153;   0.59;17.33    ;0.000058    ;17.33     ;     ~;12.69 ;11.64 ;     ~;     ~;   4
27  ;KIC 10848618;KIC 10848618             ;Er*;19 02 30.99390 +48 13 49.5486;   1.02;-38.34   ;-0.000128   ;-38.34    ;     ~;12.17 ;10.75 ;     ~;     ~;   7
28  ;KIC 10908322;KIC 10908322             ;RG*;19 01 33.62452 +48 18 33.4380;   0.55;-19.56   ;-0.000065   ;-19.56    ;     ~;12.52 ;11.84 ;     ~;     ~;   6
29  ;KIC 10964584;KIC 10964584             ;RG*;19 03 03.56707 +48 26 45.0345;   0.58;-86.46   ;-0.000288   ;-86.45    ;     ~;12.82 ;11.82 ;     ~;     ~;   5
30  ;KIC 10784013;KIC 10784013             ;RG*;19 03 19.36544 +48 09 46.6189;   0.44;-62.47   ;-0.000208   ;-62.46    ;     ~;     ~;     ~;     ~;     ~;   4
31  ;KIC 10849541;KIC 10849541             ;RG*;19 04 32.42860 +48 17 06.0870;   0.58;-33.44   ;-0.000112   ;-33.44    ;     ~;12.45 ;11.41 ;     ~;     ~;   6
32  ;KIC 10718491;KIC 10718491             ;*  ;19 04 32.95178 +48 03 07.2964;   0.86;-7.06    ;-0.000024   ;-7.06     ;     ~;12.58 ;11.55 ;     ~;     ~;   5
33  ;KIC 10653383;KIC 10653383             ;RG*;19 04 57.22244 +47 55 32.3110;   0.81;-4.29    ;-0.000014   ;-4.29     ;     ~;12.05 ;11.15 ;     ~;     ~;   9
34  ;KIC 11074543;KIC 11074543             ;RG*;19 06 06.46598 +48 36 24.9816;   0.83;-43.50   ;-0.000145   ;-43.50    ;     ~;12.32 ;11.58 ;     ~;     ~;   5
35  ;KIC 11019954;KIC 11019954             ;RG*;19 06 13.84398 +48 35 56.4260;   1.00;-12.53   ;-0.000042   ;-12.53    ;     ~;11.61 ;10.80 ;     ~;     ~;   7
36  ;KIC 11020211;KIC 11020211             ;RG*;19 06 54.99094 +48 30 09.1769;   1.97;-54.83   ;-0.000183   ;-54.82    ;     ~;11.46 ;10.57 ;     ~;     ~;   7
37  ;KIC 11020101;KIC 11020101             ;RG*;19 06 38.29845 +48 35 38.8694;   0.91;-7.92    ;-0.000026   ;-7.92     ;     ~;     ~;     ~;     ~;     ~;   4
38  ;KIC 10910802;KIC 10910802             ;RG*;19 07 48.11622 +48 20 42.2238;   0.57;-45.19   ;-0.000151   ;-45.19    ;     ~;     ~;     ~;     ~;     ~;   5
39  ;KIC 11075908;KIC 11075908             ;*  ;19 09 41.67627 +48 38 08.9804;   0.55;-39.79   ;-0.000133   ;-39.79    ;     ~;12.61 ;11.74 ;     ~;     ~;   7
40  ;KIC 10966458;KIC 10966458             ;RG*;19 07 46.92870 +48 24 35.9114;   1.25;33.55    ;0.000112    ;33.55     ;     ~;11.63 ;10.52 ;     ~;     ~;   7
41  ;KIC 10910674;KIC 10910674             ;*  ;19 07 29.60476 +48 23 49.6580;   0.76;-8.79    ;-0.000029   ;-8.79     ;     ~;12.54 ;11.18 ;     ~;     ~;   5
42  ;KIC 11551758;KIC 11551758             ;RG*;19 10 37.42829 +49 34 53.3535;   0.84;-31.37   ;-0.000105   ;-31.37    ;     ~;12.19 ;11.12 ;     ~;     ~;   6
43  ;KIC 11499428;KIC 11499428             ;RG*;19 10 01.04175 +49 28 49.9021;   0.56;-5.53    ;-0.000018   ;-5.53     ;     ~;     ~;     ~;     ~;     ~;   6
44  ;KIC 11551746;KIC 11551746             ;RG*;19 10 35.45346 +49 33 05.4756;   0.58;-50.85   ;-0.000170   ;-50.85    ;     ~;13.22 ;11.28 ;     ~;     ~;   7
45  ;KIC 11394905;KIC 11394905             ;RG*;19 09 40.00932 +49 13 39.3244;   0.61;-70.54   ;-0.000235   ;-70.53    ;     ~;12.98 ;12.03 ;     ~;     ~;  10
46  ;KIC 11550567;KIC 11550567             ;*  ;19 07 12.65108 +49 30 12.3070;   0.57;0.28     ;0.000001    ;0.28      ;     ~;12.48 ;11.45 ;     ~;     ~;   7
47  ;KIC 11498298;KIC 11498298             ;Er*;19 07 10.69657 +49 24 37.8278;   0.87;20.59    ;0.000069    ;20.59     ;     ~;11.91 ;10.80 ;     ~;     ~;   7
48  ;KIC 11704163;KIC 11704163             ;RG*;19 07 57.09142 +49 49 03.5871;   0.75;11.98    ;0.000040    ;11.98     ;     ~;12.40 ;11.65 ;     ~;     ~;   5
49  ;KIC 11341723;KIC 11341723             ;RG*;19 08 27.72194 +49 07 26.5055;   0.93;-8.90    ;-0.000030   ;-8.90     ;     ~;12.01 ;10.92 ;     ~;     ~;   6
50  ;KIC 11287936;KIC 11287936             ;Er*;19 06 41.89491 +49 05 11.0547;   1.20;-29.85   ;-0.000100   ;-29.85    ;     ~;11.86 ;10.75 ;     ~;     ~;   6
51  ;KIC 11653073;KIC 11653073             ;*  ;19 06 18.00157 +49 43 56.0770;   0.67;-47.85   ;-0.000160   ;-47.85    ;     ~;12.47 ;11.85 ;     ~;     ~;   7
52  ;KIC 11702195;KIC 11702195             ;RG*;19 02 36.76826 +49 48 44.9410;   1.30;-66.78   ;-0.000223   ;-66.77    ;     ~;12.29 ;10.92 ;     ~;     ~;   6
53  ;KIC 11600208;KIC 11600208             ;RG*;19 02 29.23568 +49 39 35.1536;   0.61;~        ;~           ;~         ;     ~;     ~;     ~;     ~;     ~;   5
54  ;KIC 11548940;KIC 11548940             ;RG*;19 02 50.63091 +49 32 30.5730;   0.47;1.47     ;0.000005    ;1.47      ;     ~;12.62 ;11.22 ;     ~;     ~;   5
55  ;KIC 11444313;KIC 11444313             ;RG*;19 01 43.80914 +49 23 06.2554;   0.68;-18.11   ;-0.000060   ;-18.11    ;     ~;12.53 ;11.65 ;     ~;     ~;  11
56  ;KIC 11599342;KIC 11599342             ;RG*;19 00 10.93408 +49 38 17.0359;   1.98;-38.95   ;-0.000130   ;-38.95    ;     ~;11.50 ;10.39 ;     ~;     ~;   5
57  ;KIC 11546913;KIC 11546913             ;RG*;18 57 06.14124 +49 32 18.8195;   1.28;11.25    ;0.000038    ;11.25     ;     ~;12.76 ;11.64 ;     ~;     ~;   4
58  ;KIC 11598116;KIC 11598116             ;RG*;18 56 43.49170 +49 38 10.9100;   0.49;-41.12   ;-0.000137   ;-41.12    ;     ~;     ~;     ~;     ~;     ~;   6
59  ;KIC 11494312;KIC 11494312             ;*  ;18 56 36.72198 +49 25 07.5322;   0.73;-11.51   ;-0.000038   ;-11.51    ;     ~;12.76 ;11.48 ;     ~;     ~;   6
60  ;KIC 11441797;KIC 11441797             ;RG*;18 54 53.66678 +49 23 25.5221;   1.02;-53.94   ;-0.000180   ;-53.94    ;     ~;12.40 ;11.26 ;     ~;     ~;   6
61  ;KIC 11442227;KIC 11442227             ;*  ;18 56 03.65557 +49 20 47.1941;   0.61;-5.23    ;-0.000017   ;-5.23     ;     ~;12.95 ;11.42 ;     ~;     ~;   4
62  ;KIC 11177727;KIC 11177727             ;RG*;18 57 04.83506 +48 53 42.3899;   0.70;-48.81   ;-0.000163   ;-48.81    ;     ~;12.59 ;11.71 ;     ~;     ~;   5
63  ;KIC 11905840;KIC 11905840             ;RG*;19 07 08.35492 +50 16 44.0003;   0.99;-4.64    ;-0.000015   ;-4.64     ;     ~;     ~;     ~;     ~;     ~;   7
64  ;KIC 11955410;KIC 11955410             ;*  ;19 07 16.36581 +50 18 16.5032;   0.87;-5.16    ;-0.000017   ;-5.16     ;     ~;11.87 ;11.04 ;     ~;     ~;   6
65  ;KIC 12005162;KIC 12005162             ;RG*;19 07 06.28017 +50 24 45.6479;   1.95;36.87    ;0.000123    ;36.87     ;     ~;11.68 ;10.90 ;     ~;     ~;   5
66  ;KIC 11805460;KIC 11805460             ;RG*;19 07 43.38280 +50 05 07.2612;   0.89;-30.66   ;-0.000102   ;-30.66    ;     ~;12.44 ;11.33 ;     ~;     ~;   7
67  ;KIC 11805792;KIC 11805792             ;RG*;19 08 35.26540 +50 01 39.1568;   0.55;3.72     ;0.000012    ;3.72      ;     ~;13.63 ;11.96 ;     ~;     ~;   6
68  ;KIC 11855110;KIC 11855110             ;RG*;19 05 38.47475 +50 08 27.3371;   0.53;-62.06   ;-0.000207   ;-62.05    ;     ~;14.10 ;11.84 ;     ~;     ~;   8
69  ;KIC 11754056;KIC 11754056             ;*  ;19 05 26.80462 +49 55 56.9658;   0.56;-33.77   ;-0.000113   ;-33.77    ;     ~;     ~;     ~;     ~;     ~;   7
70  ;KIC 11804677;KIC 11804677             ;RG*;19 05 30.76383 +50 00 24.5372;   0.55;-48.57   ;-0.000162   ;-48.57    ;     ~;11.96 ;10.92 ;     ~;     ~;   6
71  ;KIC 11703230;KIC 11703230             ;RG*;19 05 23.50537 +49 51 18.8365;   0.70;-8.90    ;-0.000030   ;-8.90     ;     ~;12.62 ;11.80 ;     ~;     ~;   6
72  ;KIC 11954465;KIC 11954465             ;RG*;19 04 44.47663 +50 22 43.6228;   1.40;-30.83   ;-0.000103   ;-30.83    ;     ~;12.46 ;11.05 ;     ~;     ~;   6
73  ;KIC 11954278;KIC 11954278             ;RG*;19 04 12.33699 +50 19 07.7351;   0.68;-4.23    ;-0.000014   ;-4.23     ;     ~;12.72 ;11.44 ;     ~;     ~;   6
74  ;KIC 11953849;KIC 11953849             ;*  ;19 03 04.39039 +50 19 01.9250;   0.74;-31.57   ;-0.000105   ;-31.57    ;     ~;12.50 ;11.66 ;     ~;     ~;   6
75  ;KIC 12003742;KIC 12003742             ;*  ;19 03 05.69595 +50 27 02.8715;   0.57;-65.80   ;-0.000219   ;-65.79    ;     ~;12.61 ;11.34 ;     ~;     ~;   5
76  ;KIC 11753018;KIC 11753018             ;RG*;19 02 39.11149 +49 58 13.6186;   1.09;-64.18   ;-0.000214   ;-64.17    ;     ~;11.87 ;11.13 ;     ~;     ~;   6
77  ;KIC 11752707;KIC 11752707             ;RG*;19 01 48.87826 +49 58 52.9644;   0.53;-28.31   ;-0.000094   ;-28.31    ;     ~;12.77 ;11.72 ;     ~;     ~;   5
78  ;KIC 12003253;KIC 12003253             ;RG*;19 01 51.79988 +50 24 59.3246;   0.74;8.81     ;0.000029    ;8.81      ;     ~;12.58 ;11.55 ;     ~;     ~;   8
79  ;KIC 11953581;KIC 11953581             ;Er*;19 02 23.45669 +50 21 30.6454;   1.14;-7.74    ;-0.000026   ;-7.74     ;     ~;11.94 ;10.65 ;     ~;     ~;   5
80  ;KIC 11250152;KIC 11250152             ;RG*;19 38 34.45508 +48 54 58.7418;   0.58;-0.13    ;-0.000000   ;-0.13     ;     ~;     ~;     ~;     ~;     ~;   5
81  ;KIC 11250139;KIC 11250139             ;RG*;19 38 32.60244 +48 57 28.3724;   1.14;-51.17   ;-0.000171   ;-51.17    ;     ~;11.92 ;11.22 ;     ~;     ~;   6
82  ;KIC 11563791;KIC 11563791             ;Er*;19 36 52.20566 +49 35 59.3796;   0.98;-262.20  ;-0.000874   ;-262.09   ;     ~;12.25 ;11.34 ;     ~;     ~;   5
83  ;KIC 11615224;KIC 11615224             ;Er*;19 36 33.94038 +49 38 35.0370;   0.70;-30.70   ;-0.000102   ;-30.70    ;     ~;11.99 ;11.30 ;     ~;     ~;   5
84  ;KIC 11512096;KIC 11512096             ;RG*;19 36 37.87881 +49 27 10.7321;   1.11;-86.28   ;-0.000288   ;-86.27    ;     ~;11.64 ;10.79 ;     ~;     ~;   7
85  ;KIC 11564307;KIC 11564307             ;*  ;19 37 44.66015 +49 30 27.7158;   0.80;-1.38    ;-0.000005   ;-1.38     ;     ~;12.67 ;11.59 ;     ~;     ~;   6
86  ;KIC 11668246;KIC 11668246             ;*  ;19 40 22.09582 +49 45 04.3169;   0.61;-11.36   ;-0.000038   ;-11.36    ;     ~;13.68 ;11.95 ;     ~;     ~;   3
87  ;KIC 11668036;KIC 11668036             ;Er*;19 39 56.35723 +49 45 52.2161;   0.88;12.23    ;0.000041    ;12.23     ;     ~;11.89 ;10.85 ;     ~;     ~;   7
88  ;KIC 11667928;KIC 11667928             ;Er*;19 39 41.95608 +49 47 51.3464;   0.90;-50.50   ;-0.000168   ;-50.50    ;     ~;12.19 ;11.15 ;     ~;     ~;   6
89  ;KIC 11357004;KIC 11357004             ;RG*;19 40 02.21645 +49 07 46.4593;   1.01;-17.51   ;-0.000058   ;-17.51    ;     ~;11.86 ;10.73 ;     ~;     ~;   6
90  ;KIC 11513798;KIC 11513798             ;RG*;19 39 39.89985 +49 24 07.2741;   1.18;-11.47   ;-0.000038   ;-11.47    ;     ~;12.64 ;11.24 ;     ~;     ~;   5
91  ;KIC 11617622;KIC 11617622             ;*  ;19 40 45.07159 +49 40 33.3759;   0.59;8.19     ;0.000027    ;8.19      ;     ~;     ~;     ~;     ~;     ~;   6
92  ;KIC 11669113;KIC 11669113             ;RG*;19 42 03.78422 +49 43 32.0074;   0.60;-86.42   ;-0.000288   ;-86.41    ;     ~;12.65 ;11.79 ;     ~;     ~;   5
93  ;KIC 11410217;KIC 11410217             ;RG*;19 41 32.24533 +49 13 58.7637;   1.22;-42.77   ;-0.000143   ;-42.77    ;     ~;     ~;     ~;     ~;     ~;   4
94  ;KIC 11514322;KIC 11514322             ;RG*;19 40 37.01475 +49 24 19.4197;   0.85;-0.71    ;-0.000002   ;-0.71     ;     ~;12.67 ;11.31 ;     ~;     ~;   6
95  ;KIC 11410549;KIC 11410549             ;RG*;19 42 03.28442 +49 17 05.0253;   0.99;-40.28   ;-0.000134   ;-40.28    ;     ~;11.72 ;10.62 ;     ~;     ~;   8
96  ;KIC 11357686;KIC 11357686             ;Er*;19 41 16.27505 +49 09 59.6572;   0.84;-28.44   ;-0.000095   ;-28.44    ;     ~;     ~;     ~;     ~;     ~;   6
97  ;KIC 11463411;KIC 11463411             ;RG*;19 42 58.14013 +49 18 22.5811;   0.64;5.98     ;0.000020    ;5.98      ;     ~;11.87 ;10.97 ;     ~;     ~;   5
98  ;KIC 11515377;KIC 11515377             ;RG*;19 42 26.14011 +49 27 36.4462;   1.80;~        ;~           ;~         ;     ~;11.98 ;11.12 ;     ~;     ~;   6
99  ;KIC 11721438;KIC 11721438             ;RG*;19 43 41.20975 +49 48 59.2953;   0.67;-20.34   ;-0.000068   ;-20.34    ;     ~;     ~;     ~;     ~;     ~;   8
100 ;KIC 11669622;KIC 11669622             ;*  ;19 42 57.12638 +49 43 05.7635;   0.65;11.55    ;0.000039    ;11.55     ;     ~;12.23 ;11.47 ;     ~;     ~;   5
101 ;KIC 11567572;KIC 11567572             ;*  ;19 43 23.56396 +49 34 10.1079;   0.71;-33.99   ;-0.000113   ;-33.99    ;     ~;12.88 ;11.38 ;     ~;     ~;   4
102 ;KIC 11568605;KIC 11568605             ;RG*;19 45 01.76153 +49 31 54.2165;   1.10;-28.75   ;-0.000096   ;-28.75    ;     ~;12.46 ;11.29 ;     ~;     ~;   6
103 ;KIC 11517524;KIC 11517524             ;RG*;19 45 43.21508 +49 29 53.4615;   1.16;7.75     ;0.000026    ;7.75      ;     ~;12.73 ;11.43 ;     ~;     ~;   4
104 ;KIC 11567563;KIC 11567563             ;*  ;19 43 21.91576 +49 31 53.5170;   0.64;-16.65   ;-0.000056   ;-16.65    ;     ~;     ~;     ~;     ~;     ~;   5
105 ;KIC 11518492;KIC 11518492             ;Er*;19 47 12.25388 +49 24 27.2001;   1.00;-26.21   ;-0.000087   ;-26.21    ;     ~;13.33 ;11.40 ;     ~;     ~;   6
106 ;KIC 11413158;KIC 11413158             ;RG*;19 46 04.58649 +49 16 00.3279;   0.91;4.77     ;0.000016    ;4.77      ;     ~;11.78 ;10.70 ;     ~;     ~;   9
107 ;KIC 11465784;KIC 11465784             ;RG*;19 46 44.19043 +49 20 15.8466;   0.65;-53.09   ;-0.000177   ;-53.09    ;     ~;13.13 ;12.15 ;     ~;     ~;   7
108 ;KIC 11569659;KIC 11569659             ;RG*;19 46 43.88239 +49 34 20.9438;   0.65;-12.81   ;-0.000043   ;-12.81    ;     ~;12.88 ;11.57 ;     ~;     ~;  10
109 ;KIC 11519991;KIC 11519991             ;RG*;19 49 24.63450 +49 24 03.8297;   1.35;~        ;~           ;~         ;     ~;11.46 ;10.63 ;     ~;     ~;   6
110 ;KIC 11623012;KIC 11623012             ;*  ;19 48 59.69475 +49 38 44.3271;   0.59;-53.61   ;-0.000179   ;-53.61    ;     ~;12.44 ;11.49 ;     ~;     ~;   6
111 ;KIC 11621486;KIC 11621486             ;RG*;19 46 39.68242 +49 39 06.3748;   0.65;6.89     ;0.000023    ;6.89      ;     ~;12.95 ;11.72 ;     ~;     ~;   5
112 ;KIC 11521352;KIC 11521352             ;RG*;19 51 33.86832 +49 27 31.3712;   0.58;7.76     ;0.000026    ;7.76      ;     ~;     ~;     ~;     ~;     ~;   4
113 ;KIC 11572172;KIC 11572172             ;Er*;19 50 32.28314 +49 30 22.8394;   1.14;-42.35   ;-0.000141   ;-42.35    ;     ~;11.87 ;11.00 ;     ~;     ~;   8
114 ;KIC 11521197;KIC 11521197             ;RG*;19 51 18.70181 +49 25 51.2782;   0.84;11.82    ;0.000039    ;11.82     ;     ~;     ~;     ~;     ~;     ~;   5
115 ;KIC 11468340;KIC 11468340             ;RG*;19 50 42.13554 +49 20 47.1007;   0.58;-18.35   ;-0.000061   ;-18.35    ;     ~;12.44 ;12.18 ;     ~;     ~;   6
116 ;KIC 11673900;KIC 11673900             ;*  ;19 49 35.80718 +49 46 36.0447;   0.74;-34.29   ;-0.000114   ;-34.29    ;     ~;13.01 ;11.76 ;     ~;     ~;   6
117 ;KIC 11674692;KIC 11674692             ;*  ;19 50 56.83481 +49 42 24.7525;   0.74;8.25     ;0.000028    ;8.25      ;     ~;     ~;     ~;     ~;     ~;   3
118 ;KIC 11775398;KIC 11775398             ;Er*;19 49 53.86880 +49 58 48.3712;   1.22;-9.48    ;-0.000032   ;-9.48     ;     ~;11.80 ;10.62 ;     ~;     ~;   6
119 ;KIC 11775511;KIC 11775511             ;RG*;19 50 05.11675 +49 58 45.4174;   1.48;-46.31   ;-0.000154   ;-46.31    ;     ~;11.6  ;10.6  ;10.100;     ~;   6
120 ;KIC 11090395;KIC 11090395             ;*  ;19 39 11.33862 +48 38 29.3532;   0.63;-5.49    ;-0.000018   ;-5.49     ;     ~;12.80 ;11.96 ;     ~;     ~;   5
121 ;KIC 11037290;KIC 11037290             ;Er*;19 41 04.65192 +48 33 39.9367;   1.05;-13.42   ;-0.000045   ;-13.42    ;     ~;11.59 ;10.69 ;     ~;     ~;   6
122 ;KIC 11037219;KIC 11037219             ;RG*;19 40 57.02604 +48 30 12.2164;   1.44;-22.24   ;-0.000074   ;-22.24    ;     ~;11.15 ;10.36 ;     ~;     ~;   4
123 ;KIC 11090673;KIC 11090673             ;RG*;19 39 39.90775 +48 36 53.1962;   0.59;-42.92   ;-0.000143   ;-42.92    ;     ~;     ~;     ~;     ~;     ~;   5
124 ;KIC 11251136;KIC 11251136             ;*  ;19 40 22.47138 +48 54 00.9974;   0.56;5.20     ;0.000017    ;5.20      ;     ~;12.61 ;11.93 ;     ~;     ~;   5
125 ;KIC 11250488;KIC 11250488             ;RG*;19 39 09.46019 +48 59 15.8659;   0.58;11.35    ;0.000038    ;11.35     ;     ~;12.30 ;11.48 ;     ~;     ~;   5
126 ;KIC 11252233;KIC 11252233             ;*  ;19 42 14.75148 +48 54 39.7143;   0.59;-13.75   ;-0.000046   ;-13.75    ;     ~;12.36 ;11.87 ;     ~;     ~;   7
127 ;KIC 11251837;KIC 11251837             ;Er*;19 41 34.90090 +48 57 56.0771;   1.00;18.58    ;0.000062    ;18.58     ;     ~;12.16 ;10.99 ;     ~;     ~;   6
128 ;KIC 11357931;KIC 11357931             ;*  ;19 41 43.60625 +49 07 44.1546;   0.62;3.50     ;0.000012    ;3.50      ;     ~;12.85 ;11.46 ;     ~;     ~;   6
129 ;KIC 11197457;KIC 11197457             ;*  ;19 40 43.62446 +48 52 56.0132;   0.65;-15.34   ;-0.000051   ;-15.34    ;     ~;13.02 ;11.45 ;     ~;     ~;   6
130 ;KIC 11145563;KIC 11145563             ;*  ;19 42 10.35552 +48 45 54.9496;   0.53;-34.15   ;-0.000114   ;-34.15    ;     ~;     ~;     ~;     ~;     ~;   6
131 ;KIC 11146230;KIC 11146230             ;Er*;19 43 06.28332 +48 43 44.3777;   1.13;7.08     ;0.000024    ;7.08      ;     ~;11.51 ;10.72 ;     ~;     ~;   6
132 ;KIC 10983401;KIC 10983401             ;RG*;19 41 21.88417 +48 26 46.7270;   1.04;-28.49   ;-0.000095   ;-28.49    ;     ~;11.69 ;10.83 ;     ~;     ~;   5
133 ;KIC 11146152;KIC 11146152             ;*  ;19 42 58.88677 +48 46 27.5971;   0.65;-11.67   ;-0.000039   ;-11.67    ;     ~;12.50 ;11.49 ;     ~;     ~;   3
