KIC,parallax
KIC 10907196,0.64
KIC 10962775,0.62
KIC 11177749,0.89
KIC 11231549,0.78
KIC 11178396,0.58
KIC 11072334,1.11
KIC 11232225,0.60
KIC 11179815,1.07
KIC 11018710,0.87
KIC 11180468,1.29
KIC 11340165,0.58
KIC 11287679,0.64
KIC 11234625,0.64
KIC 11128910,0.70
KIC 11129153,0.72
KIC 11289335,0.61
KIC 11289128,0.77
KIC 11129480,0.40
KIC 11129945,0.55
KIC 11236536,0.93
KIC 11289822,1.56
KIC 10651578,0.55
KIC 10651320,0.62
KIC 10847321,0.88
KIC 11018922,0.52
KIC 11018745,0.59
KIC 10848618,1.02
KIC 10908322,0.55
KIC 10964584,0.58
KIC 10784013,0.44
KIC 10849541,0.58
KIC 10718491,0.86
KIC 10653383,0.81
KIC 11074543,0.83
KIC 11019954,1.00
KIC 11020211,1.97
KIC 11020101,0.91
KIC 10910802,0.57
KIC 11075908,0.55
KIC 10966458,1.25
KIC 10910674,0.76
KIC 11551758,0.84
KIC 11499428,0.56
KIC 11551746,0.58
KIC 11394905,0.61
KIC 11550567,0.57
KIC 11498298,0.87
KIC 11704163,0.75
KIC 11341723,0.93
KIC 11287936,1.20
KIC 11653073,0.67
KIC 11702195,1.30
KIC 11600208,0.61
KIC 11548940,0.47
KIC 11444313,0.68
KIC 11599342,1.98
KIC 11546913,1.28
KIC 11598116,0.49
KIC 11494312,0.73
KIC 11441797,1.02
KIC 11442227,0.61
KIC 11177727,0.70
KIC 11905840,0.99
KIC 11955410,0.87
KIC 12005162,1.95
KIC 11805460,0.89
KIC 11805792,0.55
KIC 11855110,0.53
KIC 11754056,0.56
KIC 11804677,0.55
KIC 11703230,0.70
KIC 11954465,1.40
KIC 11954278,0.68
KIC 11953849,0.74
KIC 12003742,0.57
KIC 11753018,1.09
KIC 11752707,0.53
KIC 12003253,0.74
KIC 11953581,1.14
KIC 11250152,0.58
KIC 11250139,1.14
KIC 11563791,0.98
KIC 11615224,0.70
KIC 11512096,1.11
KIC 11564307,0.80
KIC 11668246,0.61
KIC 11668036,0.88
KIC 11667928,0.90
KIC 11357004,1.01
KIC 11513798,1.18
KIC 11617622,0.59
KIC 11669113,0.60
KIC 11410217,1.22
KIC 11514322,0.85
KIC 11410549,0.99
KIC 11357686,0.84
KIC 11463411,0.64
KIC 11515377,1.80
KIC 11721438,0.67
KIC 11669622,0.65
KIC 11567572,0.71
KIC 11568605,1.10
KIC 11517524,1.16
KIC 11567563,0.64
KIC 11518492,1.00
KIC 11413158,0.91
KIC 11465784,0.65
KIC 11569659,0.65
KIC 11519991,1.35
KIC 11623012,0.59
KIC 11621486,0.65
KIC 11521352,0.58
KIC 11572172,1.14
KIC 11521197,0.84
KIC 11468340,0.58
KIC 11673900,0.74
KIC 11674692,0.74
KIC 11775398,1.22
KIC 11775511,1.48
KIC 11090395,0.63
KIC 11037290,1.05
KIC 11037219,1.44
KIC 11090673,0.59
KIC 11251136,0.56
KIC 11250488,0.58
KIC 11252233,0.59
KIC 11251837,1.00
KIC 11357931,0.62
KIC 11197457,0.65
KIC 11145563,0.53
KIC 11146230,1.13
KIC 10983401,1.04
KIC 11146152,0.65
KIC 11359175,0.62
KIC 11358755,0.69
KIC 11252437,0.81
KIC 11305250,0.74
KIC 11146647,0.49
KIC 11199105,0.74
KIC 11199783,0.64
KIC 11252706,0.56
KIC 11360886,0.62
KIC 11413138,0.69
KIC 11200573,0.56
KIC 11307599,0.57
KIC 11308784,0.89
KIC 11308660,0.87
KIC 11361765,1.45
KIC 11414700,0.67
KIC 12121377,0.53
KIC 12121656,0.61
KIC 11924919,1.77
KIC 11824976,0.59
KIC 11973853,1.30
KIC 12121207,0.56
KIC 11823838,0.81
KIC 11722424,0.79
KIC 11971940,1.28
KIC 11721374,1.06
KIC 11971123,0.77
KIC 11970987,0.67
KIC 11821439,1.00
KIC 11819760,0.69
KIC 11920678,1.29
KIC 11820688,1.01
KIC 11869095,1.30
KIC 12017985,0.80
KIC 11868264,0.55
KIC 11769182,1.20
KIC 12114999,0.50
KIC 11868246,0.56
KIC 11767058,0.95
KIC 11614827,0.60
KIC 11716326,1.41
KIC 12418515,0.52
KIC 12316494,0.56
KIC 12367827,0.43
KIC 12169845,0.84
KIC 12120230,0.99
KIC 12217154,0.71
KIC 12168406,0.80
KIC 12366461,0.76
KIC 12366537,1.21
KIC 12470054,1.35
KIC 12070114,0.82
KIC 12070650,0.97
KIC 12314927,0.69
KIC 12365293,1.20
KIC 12314910,0.68
KIC 12215647,1.11
KIC 12167521,0.74
KIC 12216750,1.17
KIC 12118044,0.52
KIC 12117790,~
KIC 12164879,0.68
KIC 12116393,0.85
KIC 12067001,0.73
KIC 10662618,0.86
KIC 10793771,1.28
KIC 10793872,1.48
KIC 10858331,0.61
KIC 10973854,0.73
KIC 10532751,1.01
KIC 10598558,1.01
KIC 11028575,~
KIC 11028372,0.63
KIC 10918731,0.60
KIC 10859779,0.89
KIC 10859941,0.76
KIC 10977629,0.65
KIC 10921258,0.57
KIC 10799530,0.57
KIC 10667886,0.76
KIC 10801063,2.72
KIC 10669123,0.60
KIC 10979181,0.34
KIC 10864711,1.11
KIC 10604460,0.88
KIC 10670445,0.95
KIC 10736390,0.93
KIC 10735926,0.79
KIC 10866415,1.38
KIC 10979742,1.01
