,KIC,numax,Dnu,Teff,[M/H]2,kic_kepmag
4,11337883,149.21,11.53,4937.0,-0.03,9.609000199999999
15,11126673,55.79,5.65,4660.0,-0.11,9.677
40,11342694,75.5,7.07,4509.0,0.33,9.8599997
99,11447802,44.22,4.38,4811.0,-0.06,10.127
132,11495120,60.96,5.66,4992.0,-0.05,9.5340004
139,11649294,33.96,4.14,4714.0,0.05,10.019
140,11598312,46.68,4.85,4915.0,-0.21,9.986000099999998
148,11337714,38.84,4.14,4805.0,0.25,10.084
170,11904929,44.5,4.64,4997.0,-0.33,9.866000199999998
198,11615498,66.98,6.03,5104.0,0.07,9.9429998
212,11618522,58.12,5.44,4963.0,0.24,9.9919996
221,11462972,42.92,4.55,4818.0,0.15,9.880000099999998
263,11197101,28.45,3.89,4930.0,-0.4,10.148
278,11358669,92.38,8.51,4915.0,0.17,9.7609997
296,12122151,51.07,5.06,4764.0,-0.07,9.715000199999999
308,12120327,34.28,4.02,4812.0,-0.1,10.067
317,11871882,36.46,4.3,5062.0,-0.41,9.7910004
341,12115227,97.21,9.37,4954.0,-0.86,9.9729996
379,12117099,29.6,3.9,4894.0,-0.7,10.058
384,10728179,37.45,4.25,4923.0,-0.12,9.665
385,10793890,103.76,8.54,5115.0,0.01,9.949000400000001
414,10604255,30.66,3.65,4626.0,-0.06,9.796999900000001
427,10802837,57.33,5.47,4914.0,0.23,9.8369999
429,11087371,145.5,11.57,4761.0,0.28,9.786999699999999
430,11033302,36.28,4.21,4897.0,-0.29,9.8579998
473,11298776,39.61,4.54,4720.0,-0.2,10.145
504,11134982,102.31,8.61,4848.0,0.15,9.915
511,11241927,25.84,2.96,4489.0,0.11,9.5080004
514,11133969,30.54,3.64,4688.0,-0.28,9.5190001
517,10792949,45.16,4.59,4623.0,0.42,10.062000000000001
561,9517542,20.43,2.7,4496.0,-0.08,10.004
585,9764708,31.59,3.34,4751.0,0.04,9.8369999
592,9705687,74.32,6.48,5342.0,-0.3,9.5819998
607,9145955,129.69,10.93,5032.0,-0.42,9.7770004
634,9335570,37.67,4.21,4796.0,-0.06,9.9289999
641,10268744,33.31,3.75,4580.0,0.29,9.9510002
692,10659842,74.51,6.99,4900.0,-0.33,9.927
696,10592802,29.93,4.05,5015.0,-0.61,9.958000199999999
709,10722175,114.46,9.44,4607.0,0.15,9.5080004
712,10461323,84.14,8.68,4895.0,0.1,10.005
730,8673221,36.95,3.99,4875.0,-0.03,9.744999900000002
748,8870432,44.85,4.21,4607.0,0.54,9.7799997
760,8676927,42.12,4.28,4900.0,-0.03,10.141
764,8872709,38.63,4.37,4875.0,-0.02,9.777999900000001
828,9075225,55.18,5.36,4833.0,-0.07,10.092
833,9327993,34.68,3.91,4610.0,0.28,9.8079996
862,9574730,48.07,4.83,4870.0,0.13,9.736000099999998
870,9328682,47.64,4.7,5040.0,-0.19,9.9130001
894,10090853,37.18,4.11,4665.0,0.31,9.734000199999999
912,10093930,33.7,4.02,4664.0,0.38,9.668999699999999
915,10095427,57.25,6.09,4786.0,-0.47,9.637000099999998
925,10426854,38.8,4.27,4854.0,-0.41,9.941
930,9479404,84.76,6.96,5021.0,0.22,9.829000500000001
932,9783226,53.6,5.3,4660.0,0.05,9.854000099999999
938,9602917,31.66,3.95,4714.0,-0.25,9.8999996
942,9846355,32.0,3.91,4594.0,0.27,9.5270004
954,9667930,67.75,6.06,5022.0,0.03,9.9020004
957,9970830,52.0,5.06,4816.0,0.1,10.031
965,10554179,31.78,3.29,5076.0,-0.83,10.081
970,10879372,35.11,3.73,4556.0,0.47,10.137
975,10226276,60.59,5.99,4632.0,0.14,10.052
981,10489108,28.91,3.52,4750.0,-0.28,9.5170002
992,10550429,133.98,10.66,4936.0,0.04,9.6070004
1019,11046496,31.75,3.91,4839.0,-0.56,9.7950001
1020,10992711,34.91,4.04,4446.0,-0.29,9.9429998
1022,10991398,34.0,4.11,4843.0,-0.21,9.678000500000001
1033,11043831,37.07,4.23,4694.0,0.09,10.031
1034,10989210,52.93,4.72,5007.0,-0.14,10.1
1037,10745775,38.3,4.03,4695.0,0.35,9.862999900000002
1048,9406596,33.5,3.91,4712.0,0.38,9.9239998
1053,9408590,44.47,4.51,4784.0,0.0,9.7010002
1067,9226335,52.44,4.54,4956.0,0.42,9.869999900000002
1069,9228469,104.4,9.18,4901.0,-0.38,9.9870005
1128,9535399,58.26,5.75,4662.0,0.35,9.6520004
1136,9472481,62.31,5.4,4940.0,-0.18,9.9890003
1142,9532518,31.13,3.96,4732.0,-0.24,10.135
1147,9836930,74.41,5.88,4893.0,0.35,9.8409996
1155,9713083,41.7,4.58,4737.0,0.03,9.927
1156,9772366,75.0,6.75,4706.0,0.33,9.6929998
1160,9406415,59.28,5.16,5089.0,0.0,9.9250002
1164,9711269,64.05,6.35,4637.0,0.21,9.793999699999999
1187,9957219,36.0,4.25,4711.0,-0.09,9.876999900000001
1249,6271732,32.57,4.04,4887.0,-0.28,9.984000199999999
1263,6273063,31.8,3.64,4554.0,0.5,9.7010002
1304,7188504,30.46,3.92,4682.0,-0.25,10.038
1326,7428418,35.64,4.12,4881.0,-0.03,9.930000300000001
1365,8085964,96.97,7.25,4982.0,0.23,9.8940001
1482,6103934,99.28,8.36,4819.0,0.07,9.6660004
1494,5940060,52.05,5.61,4650.0,-0.4,9.696999499999999
1515,6587245,24.94,2.78,4494.0,-0.01,9.816
1536,6756648,83.01,6.65,5004.0,0.1,10.005
1558,3526061,127.52,10.64,4721.0,0.23,9.9960003
1574,3529480,43.28,4.58,4693.0,0.16,9.7679996
1581,3429738,55.83,5.88,4711.0,-0.26,10.046
1593,3634720,38.51,3.88,4814.0,0.01,9.75
