KIC,Bmag,Vmag,e_lng,e_lat,B-V,V-I,Imag
KIC 10587122,10.62,9.5,301.6915363,69.5075218,1.12,1.0864325509,8.4135674491
KIC 10522084,10.54,9.55,301.2907738,69.4992809,0.99,0.983761279802,8.5662387202
KIC 11550492,10.68,9.54,304.9620032,70.9525065,1.14,1.10401970585,8.43598029415
KIC 11234897,10.41,9.51,304.4010758,70.4361138,0.9,0.91933393294,8.59066606706
KIC 11600024,10.44,9.35,302.7391503,71.3191008,1.09,1.06110097375,8.28889902625
KIC 11496569,10.79,9.72,302.9646958,71.1361237,1.07,1.04484362146,8.67515637854
KIC 11615617,10.34,9.32,318.1744696,69.0201269,1.02,1.00604177552,8.31395822448
KIC 11969378,10.82,9.74,319.8580063,69.5183232,1.08,1.05291332497,8.68708667503
KIC 11819363,10.74,9.79,319.1734305,69.3715719,0.95,0.954841289507,8.83515871049
KIC 11665692,10.59,9.45,317.7024156,69.2584989,1.14,1.10401970585,8.34598029415
KIC 11029423,10.89,9.77,312.6700256,68.8405316,1.12,1.0864325509,8.6835674491
KIC 9517698 ,10.55,9.45,303.3442279,67.5217406,1.1,1.06941272047,8.38058727953
KIC 9518802 ,10.36,9.47,304.449467,67.396005,0.89,0.912249154785,8.55775084522
KIC 8543200 ,10.6,9.65,295.7753087,66.8726397,0.95,0.954841289507,8.69515871049
KIC 7944038 ,10.86,9.65,296.7966024,65.8369156,1.21,1.17067197412,8.47932802588
KIC 9575645 ,10.76,9.78,299.8682142,68.0812644,0.98,0.97646070987,8.80353929013
KIC 9634962 ,10.96,9.76,297.8193021,68.394586,1.2,1.16062376182,8.59937623818
KIC 10359999,9.23,8.9,322.237932,65.728394,0.33,0.382538041073,8.51746195893
KIC 10812837,10.45,9.43,321.1048368,66.7730511,1.02,1.00604177552,8.42395822448
KIC 10146348,10.74,9.66,314.5964407,66.9617709,1.08,1.05291332497,8.60708667503
KIC 7014894 ,10.5,9.44,296.0508076,64.690786,1.06,1.03688560322,8.40311439678
KIC 3427850 ,10.55,9.45,296.7730724,60.5074283,1.1,1.06941272047,8.38058727953
KIC 3833399 ,10.71,9.56,295.6744145,60.9656839,1.15,1.11304014113,8.44695985887
