typed ident ;                    identifier                    
KIC 10907196;TYC 3545-1021-1          KIC 10907196             
KIC 10962775;TYC 3545-523-1           KIC 10962775             
KIC 11177749;TYC 3549-260-1           KIC 11177749             
KIC 11231549;TYC 3549-2441-1          KIC 11231549             
KIC 11178396;KIC 11178396                                      
KIC 11072334;TYC 3545-461-1           KIC 11072334             
KIC 11232225;KIC 11232225                                      
KIC 11179815;TYC 3549-572-1           KIC 11179815             
KIC 11018710;KIC 11018710                                      
KIC 11180468;TYC 3549-380-1           KIC 11180468             
KIC 11340165;KIC 11340165                                      
KIC 11287679;TYC 3549-2869-1          KIC 11287679             
KIC 11234625;TYC 3549-2813-1          KIC 11234625             
KIC 11128910;TYC 3550-900-1           KIC 11128910             
KIC 11129153;TYC 3550-1536-1          KIC 11129153             
KIC 11289335;TYC 3550-262-1           KIC 11289335             
KIC 11289128;TYC 3550-668-1           KIC 11289128             
KIC 11129480;TYC 3546-118-1           KIC 11129480             
KIC 11129945;TYC 3550-1540-1          KIC 11129945             
KIC 11236536;TYC 3550-974-1           KIC 11236536             
KIC 11289822;TYC 3550-318-1           KIC 11289822             
KIC 10651578;KIC 10651578                                      
KIC 10651320;TYC 3545-1088-1          KIC 10651320             
KIC 10847321;TYC 3545-116-1           KIC 10847321             
KIC 11018922;TYC 3545-111-1           KIC 11018922             
KIC 11018745;TYC 3545-927-1           KIC 11018745             
KIC 10848618;TYC 3545-2139-1          KIC 10848618             
KIC 10908322;TYC 3545-961-1           KIC 10908322             
KIC 10964584;TYC 3545-1077-1          KIC 10964584             
KIC 10784013;KIC 10784013                                      
KIC 10849541;TYC 3545-1099-1          KIC 10849541             
KIC 10718491;TYC 3545-560-1           KIC 10718491             
KIC 10653383;TYC 3545-1014-1          KIC 10653383             
KIC 11074543;TYC 3545-2701-1          KIC 11074543             
KIC 11019954;TYC 3545-2735-1          KIC 11019954             
KIC 11020211;TYC 3545-2679-1          KIC 11020211             
KIC 11020101;KIC 11020101                                      
KIC 10910802;KIC 10910802                                      
KIC 11075908;TYC 3546-886-1           KIC 11075908             
KIC 10966458;TYC 3546-1350-1          KIC 10966458             
KIC 10910674;TYC 3545-2681-1          KIC 10910674             
KIC 11551758;TYC 3550-360-1           KIC 11551758             
KIC 11499428;KIC 11499428                                      
KIC 11551746;TYC 3550-748-1           KIC 11551746             
KIC 11394905;TYC 3550-530-1           KIC 11394905             
KIC 11550567;TYC 3549-2791-1          KIC 11550567             
KIC 11498298;TYC 3549-2716-1          KIC 11498298             
KIC 11704163;TYC 3550-1841-1          KIC 11704163             
KIC 11341723;TYC 3550-618-1           KIC 11341723             
KIC 11287936;TYC 3549-2835-1          KIC 11287936             
KIC 11653073;TYC 3549-2844-1          KIC 11653073             
KIC 11702195;TYC 3549-1028-1          KIC 11702195             
KIC 11600208;KIC 11600208                                      
KIC 11548940;TYC 3549-1913-1          KIC 11548940             
KIC 11444313;TYC 3549-1225-1          KIC 11444313             
KIC 11599342;TYC 3549-2512-1          KIC 11599342             
KIC 11546913;TYC 3549-1735-1          KIC 11546913             
KIC 11598116;KIC 11598116                                      
KIC 11494312;TYC 3549-2444-1          KIC 11494312             
