Sat,Tobs,Subset,Number_of_stars,Pres1,Pres2,Pres3,HL
Kepler,1460,all,57000,0.9781905105,0.9803657595,0.9767469055,0.0215789474
TESS,27,all,57000,0.7616212835,0.7474324365,0.7406872856,0.2523586745
TESS,365,all,57000,0.934924576595,0.925479409435,0.923640514031,0.0704873294347
TESS,365,RGB,20100,0.925080402546,0.927752667721,0.920238867109,0.0740187949143
TESS,27,RGB,20100,0.769469359824,0.730036611426,0.736733295052,0.254836926479
Kepler,1460,RGB,20100,0.980942121598,0.986290019697,0.97546399893,0.0191265892758
Kepler,1460,RC,26800,0.977903085206,0.976918922534,0.974627769166,0.0235074626866
TESS,365,RC,26800,0.946181875983,0.925350147025,0.925260944931,0.0649668325041
TESS,27,RC,26800,0.777064865534,0.752397180436,0.765110349855,0.237520729685
TESS,27,2CL,6600,0.707696852602,0.705327890258,0.701323912334,0.289730639731
TESS,365,2CL,6600,0.918443000665,0.918782336295,0.919031456669,0.0750841750842
Kepler,1460,2CL,6600,0.977805107399,0.961740085783,0.970445890882,0.0294612794613
